b [ mm ],h [ mm ],Iy [ mm4 ],Z [ mm3 ],,,,E [ MPa ]
9.98,9.97,824.2,165.3,,,,203121 
l1 [ mm ],l [ mm ],l2 [ mm ],xS [ mm ],xD [ mm ],,,
597,901,304,486,486,,,
,,,,,,,
W [ kgf ],εS  ×10-6,"δD [ mm ]
実測値",W [ N ],MS [ N･mm ],σS  [ MPa ],εS,"δD [ mm ]
計算値"
0,0 ,0.000,0.00,0.0,0.00,0.000000 ,0.000
0.31,11 ,0.240,3.04,498.5,3.02,0.000011 ,0.240
0.81,33 ,0.591,7.94,1302.5,7.88,0.000033 ,0.627
1.31,57 ,0.980,12.85,2106.6,12.74,0.000057 ,1.013
1.81,82 ,1.390,17.75,2910.6,17.60,0.000082 ,1.400
2.31,106 ,1.774,22.65,3714.6,22.47,0.000106 ,1.787
2.81,129 ,2.154,27.56,4518.7,27.33,0.000129 ,2.174
3.31,154 ,2.544,32.46,5322.7,32.19,0.000154 ,2.560
3.81,177 ,2.924,37.36,6126.8,37.06,0.000177 ,2.947
4.31,201 ,3.325,42.27,6930.8,41.92,0.000201 ,3.334
4.81,226 ,3.714,47.17,7734.8,46.78,0.000226 ,3.721
